ID,Gender,MaoPI,Ethnic,PTJob,CigsOk,AlcOk,DrugsBad,SchoolPercept,SchoolPercAlt,PhysActive,PhysActAlt,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FatherSmoke1,OtherMaleSmok1,MotherSmoke1,OtherFemSmok1,BroSmoke1,SisSmoke1,MaleSmokB,DadSmokB,MomSmokB,FemaleSmokB,BroSmokB,SisSmokB,ParentAdQuitSmok,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,MaleDrink1,FatherDrink1,MotherDrink1,FemDrink1,OldBroDrink1,OldSisDrink1,ParentAdDrink,FemaleDrink,MaleDrink,SiblingDrink,ParentAdQuitDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,MaleDrinkB,FatherDrinkB,MotherDrinkB,FemDrinkB,OldBroDrinkB,OldSisDrinkB,MaleQuitD,FatherQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
58,2,1,1,1,1,1,2,49,2,49,2,1,50,1,2,,No,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,2,2,2,1,1,2,55,3,54,3,1,1,1,1,,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
61,2,2,3,1,1,1,2,79,4,100,4,75,92,2,2,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
62,1,1,1,2,1,1,2,65,3,47,2,1,1,1,1,,,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2
63,1,2,3,2,2,2,1,51,3,100,4,1,1,1,1,,,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2
64,1,2,3,2,1,1,2,78,4,92,4,1,1,1,1,,,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,1,3,3,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1
65,2,2,3,2,1,1,2,50,2,99,4,1,1,1,1,,,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
66,2,2,2,2,1,1,2,50,2,40,2,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,2,3,2,1,1,2,82,4,49,2,1,1,1,1,,,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,3,1,3,1,1,1,1,1,2,1,1,1,2,2,1,1,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1
70,1,2,3,2,1,1,2,79,4,100,4,1,1,1,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
71,2,2,3,2,1,2,1,50,2,99,4,1,1,1,1,,,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
72,1,2,3,2,2,1,1,55,3,100,4,1,1,1,1,,,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1
